Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project A,100,858,523,2108,180.90,66.00%,39.3,28.63,746.7
create labels into a project,300,254,168,925,122.53,76.00%,98.3,78.81,821.0
get label of project A,100,289,168,931,240.76,89.00%,36.0,14.54,413.2
create project B,100,246,168,926,191.08,99.00%,36.0,11.36,322.9
create labels into Project B,500,265,167,940,219.55,100.00%,121.0,38.94,329.5
get labels,100,216,168,964,158.12,100.00%,34.3,12.23,365.0
Debug Sampler,100,0,0,1,0.17,0.00%,36.6,16.99,475.0
TOTAL,1300,284,0,2108,257.17,83.23%,217.2,104.97,494.9
