Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project A,100,951,634,2312,244.94,0.00%,32.5,50.71,1595.7
create labels into a project,300,613,170,1166,230.20,35.00%,82.6,64.39,798.7
get label of project A,100,447,168,2225,366.05,57.00%,29.2,19.93,699.4
create project B,100,253,168,987,177.36,74.00%,24.0,15.11,643.9
create labels into Project B,500,245,168,1027,183.44,93.40%,92.1,35.59,395.7
get labels,100,381,168,957,301.23,94.00%,21.9,11.47,535.3
Debug Sampler,100,0,0,1,0.17,0.00%,22.8,10.71,481.3
TOTAL,1300,392,0,2312,326.65,61.31%,149.2,93.36,640.8
