Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create projects,180,2350,740,8104,986.24,0.00%,20.0,31.34,1605.0
create project epics,900,2875,330,10405,1359.58,3.00%,33.2,39.10,1205.3
create story,180,2925,189,9129,1623.08,18.89%,8.7,8.67,1020.3
Update Stimated time,180,2200,176,6596,1457.24,36.11%,9.8,8.40,875.0
Update Current State,180,2028,176,6287,1366.05,56.11%,10.4,7.25,714.8
verify project transitions,180,1487,177,5733,1378.63,70.56%,10.8,6.95,661.6
verify project epics,180,1076,176,9871,1329.15,82.78%,12.0,8.18,697.6
TOTAL,1980,2404,176,10405,1497.86,25.40%,66.6,68.56,1054.6
