Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create projects,150,1181,778,1618,170.29,0.00%,58.1,91.12,1605.5
create project epics,750,2154,379,5219,890.31,9.60%,45.8,51.57,1152.9
create story,150,1416,178,3186,652.50,3.33%,15.2,17.20,1156.7
Update Stimated time,150,1213,179,2532,597.95,5.33%,18.4,20.73,1156.6
Update Current State,150,954,174,2643,524.25,16.00%,22.0,23.64,1101.1
verify project transitions,150,544,169,2196,394.62,32.00%,23.7,25.51,1102.9
verify project epics,150,380,169,1979,293.45,47.33%,23.7,33.80,1459.1
TOTAL,1650,1497,169,5219,957.63,13.82%,87.6,103.82,1213.3
