Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create projects,100,1166,786,2267,236.09,0.00%,34.0,53.29,1604.7
create project epics,500,1418,328,3160,567.53,10.80%,44.2,49.39,1143.3
create story,100,1039,407,1942,346.19,0.00%,14.0,16.26,1186.1
Update Stimated time,100,885,348,1644,330.90,0.00%,15.8,18.40,1194.5
Update Current State,100,675,363,2216,322.90,0.00%,17.4,20.98,1232.5
verify project transitions,100,485,215,1012,307.05,2.00%,21.7,31.42,1481.1
verify project epics,100,329,174,991,221.90,3.00%,20.9,49.59,2424.2
TOTAL,1100,1061,174,3160,590.93,5.36%,75.6,99.55,1349.1
