Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create projects,100,1095,793,1358,146.79,0.00%,42.6,66.70,1605.0
create project epics,500,1373,282,3675,586.90,14.20%,50.1,54.56,1115.9
create story,100,931,424,2377,387.16,0.00%,16.7,19.36,1186.1
Update Stimated time,100,893,358,1911,396.98,0.00%,16.2,18.87,1194.9
Update Current State,100,636,366,1558,290.10,0.00%,18.8,22.64,1232.4
verify project transitions,100,452,173,1931,308.93,2.00%,20.8,30.02,1481.0
verify project epics,100,334,168,993,224.47,3.00%,23.6,54.44,2365.8
TOTAL,1100,1019,168,3675,593.37,6.91%,78.7,102.38,1331.3
