Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project,180,1069,731,2384,167.61,1.67%,54.8,84.69,1582.7
Get all Memberships,360,530,169,3062,340.89,46.94%,9.3,8.03,880.5
create story,180,1408,502,2345,390.44,11.11%,32.3,34.51,1094.3
Add member to project,540,1402,193,21372,984.69,11.30%,16.3,18.82,1178.9
Add owner Story,540,1403,174,4407,812.31,31.48%,16.3,15.48,972.8
Delete project,180,436,171,2009,317.85,100.00%,6.5,1.97,312.6
Delete Memberships of this project,366,502,171,2158,337.22,99.45%,13.7,4.18,312.2
TOTAL,2346,1029,169,21372,785.01,41.22%,52.7,46.79,908.5
