Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project,150,3273,1615,12090,1642.88,3.33%,11.3,17.30,1563.1
Get all Memberships,300,1223,169,5461,920.60,51.67%,12.8,9.85,788.0
create story,150,2138,188,4114,850.83,10.67%,12.2,12.98,1091.4
Add member to project,450,1035,169,3636,769.27,65.33%,27.1,17.10,646.3
Add owner Story,450,752,168,3625,720.18,81.78%,29.4,13.88,482.8
Delete Memberships of this project,290,540,169,16159,977.09,100.00%,14.2,4.30,310.0
Delete project,150,435,170,948,292.06,100.00%,7.2,2.19,310.0
TOTAL,1940,1136,168,16159,1167.12,65.88%,47.0,30.26,659.3
