Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project,180,2068,726,4466,720.42,0.00%,33.4,52.02,1594.0
Get all Memberships,360,964,168,3510,663.85,44.17%,13.3,11.97,920.3
create story,180,1328,415,3461,460.76,2.78%,22.2,24.93,1150.5
Add member to project,540,1672,178,3126,617.96,7.59%,25.8,30.28,1200.1
Add owner Story,540,1856,177,3500,826.25,22.78%,26.6,26.18,1009.5
Delete Memberships of this project,380,529,168,13908,757.58,99.47%,19.6,5.96,312.2
Delete project,180,496,169,986,308.20,100.00%,10.8,3.28,310.0
TOTAL,2360,1336,168,13908,880.19,37.54%,56.0,50.79,929.2
