Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project,100,2515,1144,4947,390.55,2.00%,16.9,26.09,1580.1
Get all Memberships,200,1101,179,3048,623.23,51.00%,6.8,5.24,792.2
create story,100,1743,191,3132,670.90,5.00%,15.5,17.25,1140.5
Add member to project,300,1924,170,4651,1005.89,49.00%,15.3,12.05,805.8
Add owner Story,300,1628,170,4644,1001.59,66.33%,15.8,9.62,621.7
Delete Memberships of this project,196,655,176,2869,470.72,100.00%,15.8,5.12,331.4
Delete project,100,655,177,3230,540.41,71.00%,7.8,3.29,429.2
TOTAL,1296,1470,170,4947,972.12,55.71%,35.7,26.02,745.8
