Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project,100,1325,715,2590,397.77,1.00%,28.6,44.30,1586.8
Get all Memberships,200,838,169,2718,588.18,50.50%,9.3,7.18,793.1
create story,100,1901,295,4461,799.06,2.00%,13.1,14.78,1159.1
Add member to project,300,1107,169,3577,817.77,48.67%,19.6,15.47,808.0
Add owner Story,300,839,170,3393,673.54,62.00%,19.2,12.16,650.1
Delete Memberships of this project,198,546,169,1954,368.50,100.00%,21.8,6.59,310.0
Delete project,100,474,170,1939,345.26,100.00%,10.7,3.23,310.0
TOTAL,1298,947,169,4461,733.07,56.55%,45.8,33.18,741.9
