Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project,150,1745,790,3726,669.15,0.00%,33.0,51.40,1594.4
Get all Memberships,300,903,170,3864,697.85,54.00%,13.9,10.24,756.2
create story,150,1563,184,3819,659.82,26.00%,19.9,18.43,948.1
Add member to project,450,845,169,3200,622.46,87.33%,31.9,13.40,430.6
Add owner Story,450,636,169,2761,495.85,98.67%,31.5,10.02,325.8
Delete Memberships of this project,276,649,169,3066,553.54,100.00%,25.0,7.56,310.0
Delete project,150,828,170,2852,607.66,99.33%,13.5,4.13,312.7
TOTAL,1926,902,169,3864,693.97,75.96%,68.8,37.71,561.3
