Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project A,150,1268,773,2636,380.18,0.00%,41.3,64.81,1607.0
create workspaceA,150,393,233,1798,269.77,5.33%,36.4,32.86,925.5
create stories,600,773,170,2173,438.88,51.00%,87.0,64.82,762.5
see iterations into a project,150,436,168,2108,323.35,89.33%,32.4,12.58,398.1
verify project history,150,308,168,942,248.23,98.67%,33.0,10.41,322.8
TOTAL,1200,687,168,2636,476.20,49.67%,143.5,110.42,787.9
