Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project,150,1547,747,3499,594.87,4.00%,34.4,52.68,1568.8
create story,150,2855,716,9001,1659.13,4.00%,14.2,16.18,1168.9
Update Stimated time,150,3135,595,6541,1250.44,25.33%,15.2,14.78,993.4
Update Current State,150,1873,172,6347,1283.18,76.00%,17.6,9.32,540.7
Update labels,150,636,169,3115,471.52,99.33%,19.2,5.98,318.1
Delete project,150,446,169,2230,350.39,100.00%,24.2,7.32,310.0
TOTAL,900,1748,169,9001,1460.48,51.44%,47.9,38.18,816.6
