Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project,150,1336,708,2244,352.23,2.00%,46.7,72.16,1582.8
create story,150,2035,554,4193,750.88,4.00%,25.0,28.29,1159.8
Update Stimated time,150,2234,184,4673,849.27,10.67%,18.7,20.48,1119.5
Update Current State,150,1857,175,3884,931.13,29.33%,15.3,15.14,1014.8
Update labels,150,1687,172,4111,1048.99,38.67%,15.6,16.24,1068.3
Delete project,150,979,170,3515,602.86,68.00%,17.8,8.10,464.9
TOTAL,900,1688,170,4673,895.71,25.44%,48.8,50.88,1068.3
