Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project,100,1232,674,2343,346.43,13.00%,32.3,45.13,1428.9
create story,100,644,175,1041,250.95,85.00%,31.1,13.39,441.3
Update Stimated time,100,451,169,2277,352.17,100.00%,27.0,8.18,310.0
Update Current State,100,542,168,966,311.41,100.00%,28.0,8.47,310.0
Update labels,100,439,170,1974,325.67,100.00%,23.5,7.12,310.0
Delete project,100,538,169,1882,336.70,100.00%,23.7,7.18,310.0
TOTAL,600,641,168,2343,422.31,83.00%,54.6,27.63,518.4
