Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project,100,1394,696,2659,427.49,2.00%,29.6,45.69,1582.2
create story,100,2014,540,4483,819.88,2.00%,15.6,17.87,1176.5
Update Stimated time,100,2114,998,4004,926.79,2.00%,10.5,12.23,1190.0
Update Current State,100,2223,205,4015,1053.46,4.00%,9.9,11.64,1209.2
Update labels,100,2033,665,5183,941.44,9.00%,9.9,13.76,1430.0
Delete project,100,1279,185,3399,583.33,45.00%,10.4,5.52,540.7
TOTAL,600,1843,185,5183,899.41,10.67%,29.3,33.95,1188.1
