Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project,180,1521,753,4058,561.65,1.67%,34.6,53.56,1584.5
create story,180,2112,512,4383,1002.75,9.44%,22.9,24.82,1111.1
Update Stimated time,180,2195,184,4767,1066.59,26.11%,21.3,20.86,1003.0
Update Current State,180,1497,175,3601,871.05,53.33%,18.0,15.25,870.1
Update labels,180,1294,174,3301,828.12,52.22%,19.9,17.65,907.4
Delete project,180,870,170,2666,538.38,73.89%,19.5,8.06,422.5
TOTAL,1080,1581,170,4767,953.07,36.11%,56.7,54.40,983.1
