Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project,180,3606,1920,7103,1268.12,1.11%,22.0,34.07,1588.0
create story,180,2534,711,6849,1052.37,6.67%,18.9,20.93,1135.5
Update Stimated time,180,2087,528,4924,696.26,16.67%,20.4,21.44,1077.6
Update Current State,180,1521,169,3483,792.81,44.44%,17.5,15.35,898.2
Update labels,180,1023,169,3204,694.69,56.11%,17.4,14.55,856.7
Delete project,180,856,170,2775,525.68,38.89%,20.9,11.72,572.9
TOTAL,1080,1938,169,7103,1286.35,27.31%,52.2,52.05,1021.5
