Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project,150,1962,752,3743,718.47,0.00%,30.4,47.41,1595.6
Get all accounts,150,996,248,2520,464.77,0.00%,28.9,28.72,1018.0
Edit project with new account,150,744,253,2517,413.13,0.00%,26.5,41.31,1595.8
Edit project,150,737,239,2292,367.67,0.67%,26.4,41.92,1625.1
create workspace,150,603,220,2099,352.46,0.67%,23.8,21.88,941.5
Delete workspace,150,515,182,1801,327.58,1.33%,22.6,15.21,689.0
Delete project,150,649,284,1092,312.62,1.33%,19.1,13.37,715.5
TOTAL,1050,887,182,3743,638.45,0.57%,64.2,73.32,1168.6
