Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project,150,1071,758,2430,183.98,0.67%,43.7,67.87,1591.5
Get all accounts,150,547,240,2109,337.78,0.00%,39.5,39.29,1018.1
Edit project with new account,150,670,247,2153,363.61,3.33%,38.9,59.17,1558.8
Edit project,150,645,193,2278,341.27,2.00%,38.1,60.07,1615.8
create workspace,150,658,219,2217,320.80,0.00%,34.5,31.73,941.4
Delete workspace,150,419,184,995,292.61,0.67%,33.3,22.41,688.5
Delete project,150,773,285,2342,326.31,0.67%,26.8,18.89,721.4
TOTAL,1050,683,184,2430,366.56,1.05%,78.0,88.53,1162.2
