Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project,100,1111,748,2340,232.02,0.00%,31.5,49.14,1595.8
Get all accounts,100,516,238,1035,308.45,0.00%,32.3,32.07,1017.8
Edit project with new account,100,729,250,2238,400.44,0.00%,29.9,46.56,1596.4
Edit project,100,667,307,1156,315.93,1.00%,26.9,42.64,1623.7
create workspace,100,595,218,1699,329.49,0.00%,24.2,22.20,941.2
Delete workspace,100,501,198,1821,350.72,0.00%,24.8,16.70,691.0
Delete project,100,678,295,1121,318.68,2.00%,22.1,15.72,726.9
TOTAL,700,685,198,2340,377.23,0.43%,54.5,62.28,1170.4
