Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project,180,1113,746,2031,197.59,1.11%,58.2,90.22,1588.0
Get all accounts,180,556,238,2004,348.15,0.00%,52.8,52.45,1017.9
Edit project with new account,180,664,198,1769,318.95,1.11%,37.6,58.25,1586.9
Edit project,180,651,184,2348,333.34,3.89%,34.8,54.11,1591.7
create workspace,180,633,170,1028,308.97,9.44%,35.1,30.23,881.8
Delete workspace,180,450,170,2165,360.44,20.56%,32.6,20.68,648.8
Delete project,180,692,168,2151,335.77,17.78%,29.8,18.94,650.5
TOTAL,1260,680,168,2348,372.31,7.70%,90.8,100.87,1137.9
