Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project,180,1170,793,2134,197.96,0.56%,70.8,110.18,1592.7
Get all accounts,180,656,237,2359,374.76,0.00%,51.1,50.78,1017.7
Edit project with new account,180,572,259,1109,302.33,2.22%,41.7,63.94,1571.1
Edit project,180,721,221,2252,349.85,1.11%,43.5,68.90,1621.5
create workspace,180,582,172,2247,340.05,3.89%,37.8,34.08,923.9
Delete workspace,180,482,169,1751,307.41,17.22%,37.9,23.84,643.4
Delete project,180,608,170,1126,314.12,19.44%,33.4,20.98,643.7
TOTAL,1260,684,169,2359,379.82,6.35%,93.9,105.01,1144.8
