Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project,100,999,720,2207,178.26,1.00%,39.8,61.77,1588.4
Get all accounts,100,431,235,1396,297.80,0.00%,34.3,34.08,1017.6
Edit project with new account,100,769,261,1096,258.71,1.00%,26.7,41.31,1587.1
Edit project,100,509,187,1349,298.62,1.00%,22.2,35.12,1620.2
create workspace,100,822,230,1288,288.00,1.00%,19.3,17.71,941.2
Delete workspace,100,438,195,989,282.17,1.00%,21.5,14.53,691.8
Delete project,100,744,188,1877,334.47,1.00%,18.0,12.68,721.5
TOTAL,700,673,187,2207,345.25,0.86%,51.3,58.47,1166.8
