Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Signin,100,2648,1703,4579,603.32,0.00%,18.3,171.91,9639.6
Signin_return_to,100,4440,3018,9207,1032.36,0.00%,9.2,120.91,13403.2
Create account,100,1186,689,2012,313.67,1.00%,12.4,23.09,1902.6
get token,100,11637,181,66045,7211.80,3.00%,1.5,224.11,155832.1
Delete account,100,929,208,6375,595.95,100.00%,1.5,2.32,1620.5
Debug Sampler,99,0,0,1,0.14,0.00%,3.4,2.77,832.5
TOTAL,599,3479,0,66045,4933.78,17.36%,7.1,211.55,30588.0
