Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Signin,150,1648,719,4705,903.26,0.00%,29.1,274.31,9642.2
Signin_return_to,150,9519,4154,19862,3991.40,0.00%,6.3,83.01,13403.4
Create account,150,2338,648,7313,1554.84,0.00%,6.8,12.74,1905.5
get token,150,13688,3262,66465,8487.34,0.00%,2.1,330.39,163629.4
Delete account,126,53096,35064,103702,17150.78,9.52%,1.0,75.68,76549.9
Debug Sampler,126,0,0,6,0.60,0.00%,1.5,1.25,834.0
TOTAL,852,12640,0,103702,19159.83,1.41%,6.1,267.03,44644.9
