Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Signin,180,1991,737,10904,1462.31,0.00%,15.8,148.68,9640.0
Signin_return_to,180,7861,3805,15827,3094.52,0.00%,7.3,95.78,13404.8
Create account,180,7127,667,58277,10365.94,0.56%,2.5,4.58,1896.3
Delete account,180,50797,970,93406,15423.96,23.33%,1.4,83.73,59981.2
TOTAL,720,16944,667,93406,21826.42,5.97%,5.4,112.26,21230.6
