Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Signin,100,2845,1481,4587,824.03,0.00%,18.3,172.55,9642.2
Signin_return_to,100,3679,2442,7654,881.79,0.00%,9.0,118.25,13401.5
Create account,100,1159,743,4899,736.05,2.00%,11.5,21.32,1899.5
get token,99,10005,184,35154,4710.80,6.06%,2.6,372.61,148306.6
Delete account,99,15045,196,32383,9147.35,26.26%,2.1,74.93,36721.4
Debug Sampler,99,0,0,12,1.28,0.00%,2.3,1.85,829.7
TOTAL,597,5441,0,35154,6802.19,5.70%,10.1,345.72,34998.7
