Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Create project,150,2231,1037,3751,582.23,1.33%,30.8,47.72,1586.9
create story,150,2290,881,6209,940.31,16.00%,16.5,17.00,1056.1
create task on story,150,2325,396,4093,999.03,17.33%,14.3,13.72,981.7
Update stimate and started story,150,1875,171,3864,1039.82,32.00%,15.3,14.52,970.8
Update state to accepted Story,150,1204,170,3471,818.94,56.67%,16.3,13.29,834.9
Update date accepted story ,150,712,170,2802,519.45,84.00%,15.6,9.32,613.2
Delete project,150,484,170,2221,365.38,73.33%,16.5,6.76,419.6
TOTAL,1050,1589,170,6209,1071.78,40.10%,54.2,48.88,923.3
