Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
Create project,180,1383,672,3799,578.80,1.67%,38.5,59.41,1581.2
create story,180,1940,183,4427,1001.51,13.33%,24.7,25.59,1060.9
create task on story,180,1838,171,4359,1048.06,36.11%,23.0,18.41,820.7
Update stimate and started story,180,1052,170,3245,677.93,66.67%,22.9,14.32,641.2
Update state to accepted Story,180,538,169,2560,430.67,98.33%,21.9,8.24,385.7
Update date accepted story ,180,535,169,2160,362.15,100.00%,20.0,6.28,321.8
Delete project,180,413,169,959,293.55,100.00%,19.4,5.88,310.0
TOTAL,1260,1100,169,4427,905.48,59.44%,78.9,56.40,731.6
