Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create projects,180,1349,792,3961,369.95,0.00%,38.7,60.63,1605.5
create project epics,900,2601,461,7067,1220.79,6.11%,37.2,42.94,1181.2
create story,180,2554,545,6956,1483.27,0.00%,10.6,12.26,1186.1
Update Stimated time,180,2530,469,7427,1662.05,0.00%,11.0,12.84,1194.7
Update Current State,180,2322,377,7440,1571.53,0.56%,10.9,13.13,1227.9
verify project transitions,180,1446,192,7306,1370.88,2.78%,11.8,17.00,1471.4
verify project epics,180,1034,177,4825,1076.00,4.44%,12.8,30.89,2475.5
TOTAL,1980,2204,177,7440,1406.50,3.48%,69.3,92.64,1369.7
