Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
create project,150,2342,845,4626,1057.51,1.33%,26.3,40.84,1589.8
create stories,600,1412,168,7521,1510.66,60.67%,41.9,26.63,651.2
get stories,150,319,169,3298,353.29,68.00%,18.6,12.77,703.7
create comments into a story,350,524,174,1858,342.36,92.86%,11.1,3.93,362.5
TOTAL,1250,1144,168,7521,1293.57,63.44%,29.8,20.08,689.3
